date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:06	327256/327256	---M-Z	200	added ('OK')	text/html	etag:%2246031b101b507ebca2803aaaaa948368%22	https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharasht/131251513.0.delaye	(from )
17:33:07	1745/1745	---M-Z	200	added ('OK')	text/plain	etag:%22fb6a2b32e12147c98db2d8256a170b5c%22	https://timesofindia.indiatimes.com/robots.txt		(from )
17:33:07	9377/9377	---M--	200	added ('OK')	image/jpeg	etag:68690	https://static.toiimg.com/thumb/msid-131251349,imgsize-68690,width-400,height-225,resizemode-72/beans-26521-19109300-l3ucdjpeg.jpg	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/static.toiimg.com/thumb/msid-131251349,imgsize-68690,width-400,height-2/beans-26521-19109300-l3uc	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:08	479804/479804	---M-Z	200	added ('OK')	application/javascript	etag:%22f6730ce2f0b0b329ca247930d7a4e442%22	https://assets.toiimg.com/assets/prebid/js/til_prebid_new.js?v=25	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/prebid/js/til_prebid_new4290.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:09	366716/366716	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286804c21382cae3f146fc11aaa462c48%22	https://c.amazon-adsystem.com/aax2/apstag.js	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/c.amazon-adsystem.com/aax2/apstag.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:10	119677/119677	---M--	200	added ('OK')	text/javascript	etag:710%20/%2020604%20/%2031098808%20/%20config-hash:%207343045430315556439	https://securepubads.g.doubleclick.net/tag/js/gpt.js?network-code=23037861279	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/securepubads.g.doubleclick.net/tag/js/fd26b.txt	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:10	3720/3720	---M--	200	added ('OK')	image/png	etag:%22e88-64c7154346800%22	https://m.timesofindia.com/touch-icon-iphone-precomposed.png	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/m.timesofindia.com/touch-icon-iphone-precomposed.png	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:11	4552/4552	---M--	200	added ('OK')	image/png	etag:%2211c8-64c7154346800%22	https://m.timesofindia.com/touch-icon-ipad-precomposed.png	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/m.timesofindia.com/touch-icon-ipad-precomposed.png	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:11	13295/13295	---M--	200	added ('OK')	image/png	etag:%2233ef-64c71542525c0%22	https://m.timesofindia.com/touch-icon-ipad-retina-precomposed.png	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/m.timesofindia.com/touch-icon-ipad-retina-precomposed.png	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:11	6598/6598	---M--	200	added ('OK')	image/png	etag:%2219c6-64c71542525c0%22	https://m.timesofindia.com/touch-icon-iphone-retina-precomposed.png	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/m.timesofindia.com/touch-icon-iphone-retina-precomposed.png	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:11	3459/3459	---M--	200	added ('OK')	image/png	etag:24320	https://static.toiimg.com/thumb/47529300.jpg?photoid=47529300&resizemode=4	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/static.toiimg.com/thumb/475293004df2.png	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:11	9523/9523	---M-Z	200	added ('OK')	application/javascript	etag:%225850230914055e819ed1643a77f852d0%22	https://assets.toiimg.com/assets/toi_js/toi_webvitals_v2.js	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/toi_js/toi_webvitals_v2.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:13	597/597	---M--	403	error ('Forbidden')	text/html	date:Sun,%2031%20May%202026%2009:33:12%20GMT	https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/GET	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-wom/GET.a.delaye	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2031%20May%202026%2009:33:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/www.googletagmanager.com/gtm.e5445.delayed	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
